"Date","Price","Open","High","Low","Vol.","Change %"
"24-04-2024","5,553,871","5,529,197","5,569,340","5,529,197","","0.42%"
"23-04-2024","5,530,854","5,572,065","5,597,604","5,485,915","","-0.73%"
"22-04-2024","5,571,526","5,414,749","5,602,146","5,383,558","","2.93%"
"21-04-2024","5,412,721","5,416,123","5,472,816","5,359,262","","-0.07%"
"20-04-2024","5,416,391","5,320,744","5,449,498","5,261,381","","1.79%"
"19-04-2024","5,320,910","5,302,625","5,460,474","5,000,063","","0.34%"
"18-04-2024","5,302,625","5,121,055","5,353,008","5,078,323","","3.53%"
"17-04-2024","5,121,729","5,337,582","5,395,763","5,006,969","","-4.08%"
"16-04-2024","5,339,736","5,291,755","5,373,389","5,161,466","","0.84%"
"15-04-2024","5,295,010","5,484,875","5,571,695","5,212,510","","-3.54%"
"14-04-2024","5,489,252","5,343,726","5,496,419","5,197,989","","2.86%"
"13-04-2024","5,336,389","5,611,612","5,678,597","5,076,993","","-4.98%"
"12-04-2024","5,616,069","5,835,372","5,938,962","5,498,363","","-3.78%"
"11-04-2024","5,836,610","5,891,555","5,941,840","5,800,719","","-0.85%"
"10-04-2024","5,886,632","5,755,470","5,929,735","5,628,038","","2.30%"
"09-04-2024","5,754,358","5,963,787","5,973,139","5,676,002","","-3.52%"
"08-04-2024","5,964,064","5,777,514","6,059,635","5,755,486","","3.23%"
"07-04-2024","5,777,514","5,739,787","5,856,495","5,736,873","","0.66%"
"06-04-2024","5,739,784","5,650,749","5,803,837","5,620,536","","1.59%"
"05-04-2024","5,650,066","5,717,271","5,730,099","5,503,539","","-1.16%"
"04-04-2024","5,716,285","5,506,632","5,764,814","5,431,550","","3.83%"
"03-04-2024","5,505,445","5,454,243","5,581,969","5,382,738","","0.96%"
"02-04-2024","5,453,245","5,812,316","5,813,516","5,389,423","","-6.20%"
"01-04-2024","5,813,468","5,942,371","5,942,371","5,687,429","","-2.28%"
"31-03-2024","5,948,933","5,801,994","5,948,933","5,801,825","","2.53%"
"30-03-2024","5,801,994","5,823,643","5,860,398","5,797,620","","-0.37%"
"29-03-2024","5,823,643","5,900,271","5,911,372","5,758,343","","-1.27%"
"28-03-2024","5,898,272","5,788,120","5,964,679","5,750,146","","1.82%"
"27-03-2024","5,792,846","5,834,574","5,969,115","5,706,430","","-0.69%"
"26-03-2024","5,832,869","5,830,060","5,958,284","5,774,027","","-0.02%"
"25-03-2024","5,834,248","5,619,140","5,929,596","5,537,915","","3.81%"
"24-03-2024","5,619,967","5,353,490","5,648,676","5,334,223","","4.99%"
"23-03-2024","5,352,616","5,331,548","5,514,709","5,274,617","","0.41%"
"22-03-2024","5,330,926","5,450,704","5,553,603","5,210,609","","-2.20%"
"21-03-2024","5,450,967","5,635,104","5,657,939","5,386,170","","-3.42%"
"20-03-2024","5,643,838","5,137,663","5,653,924","5,053,288","","9.74%"
"19-03-2024","5,143,020","5,601,826","5,649,313","5,112,227","","-8.13%"
"18-03-2024","5,598,121","5,669,075","5,714,419","5,523,543","","-1.27%"
"17-03-2024","5,670,250","5,414,734","5,708,242","5,362,741","","4.67%"
"16-03-2024","5,417,166","5,758,954","5,805,650","5,388,566","","-5.81%"
"15-03-2024","5,751,253","5,922,940","6,005,692","5,456,800","","-2.93%"
"14-03-2024","5,924,847","6,051,751","6,109,538","5,695,105","","-2.08%"
"13-03-2024","6,050,638","5,920,739","6,099,649","5,909,172","","2.21%"
