"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"05.11.2024","5.782,76","5.722,43","5.783,44","5.722,10","","1,23%"
"04.11.2024","5.712,69","5.725,15","5.741,43","5.696,51","","-0,28%"
"01.11.2024","5.728,80","5.723,22","5.772,52","5.723,22","","0,41%"
"31.10.2024","5.705,45","5.775,34","5.775,34","5.702,86","","-1,86%"
"30.10.2024","5.813,67","5.832,65","5.850,94","5.811,28","","-0,33%"
"29.10.2024","5.832,92","5.819,68","5.847,19","5.802,17","","0,16%"
"28.10.2024","5.823,52","5.833,93","5.842,92","5.823,08","","0,27%"
"25.10.2024","5.808,12","5.826,75","5.862,82","5.799,98","","-0,03%"
"24.10.2024","5.809,86","5.817,80","5.817,80","5.784,92","","0,21%"
"23.10.2024","5.797,42","5.834,50","5.834,85","5.762,41","","-0,92%"
"22.10.2024","5.851,20","5.832,70","5.863,04","5.821,17","","-0,05%"
"21.10.2024","5.853,98","5.857,82","5.866,92","5.824,79","","-0,18%"
"18.10.2024","5.864,67","5.859,43","5.872,17","5.846,11","","0,40%"
"17.10.2024","5.841,47","5.875,62","5.878,46","5.840,25","","-0,02%"
"16.10.2024","5.842,47","5.816,58","5.846,52","5.808,34","","0,47%"
"15.10.2024","5.815,26","5.866,74","5.870,36","5.804,48","","-0,76%"
"14.10.2024","5.859,85","5.829,81","5.871,41","5.829,57","","0,77%"
"11.10.2024","5.815,03","5.775,09","5.822,13","5.775,09","","0,61%"
"10.10.2024","5.780,05","5.778,36","5.795,03","5.764,76","","-0,21%"
"09.10.2024","5.792,04","5.751,80","5.796,80","5.745,02","","0,71%"
"08.10.2024","5.751,13","5.719,14","5.757,60","5.714,56","","0,97%"
"07.10.2024","5.695,94","5.737,80","5.739,34","5.686,85","","-0,96%"
