ObjectID,X,Y,Name,Street_Address,City_1,State_1,Zip_1,Phone_Number
1,13479585.054007,307158.558085,Wright & Company,1500 Woodward Ave,Detroit,MI,48226,(313) 962-7711
2,13479804.455455,304651.701192,The Apparatus Room,250 W Larned St,Detroit,MI,48226,(313) 800-5600
3,13479915.289841,305509.091809,Dime Store,719 Griswold St,Detroit,MI,48226,(313) 962-9106
4,13480429.421668,306826.884807,Standby,225 Gratiot Ave,Detroit,MI,48226,(313) 736-5533
5,13475217.216069,311673.328296,Selden Standard,3921 2nd Ave,Detroit,MI,48201,(313) 438-5055
6,13477998.53618,307065.126016,Republic,1942 Grand River Ave,Detroit,MI,48226,(313) 446-8360
8,13480214.273986,305837.734285,Parc,800 Woodward Ave,Detroit,MI,48226,(313) 922-7272
9,13477754.544622,310717.357474,Grey Ghost Detroit,47 Watson St,Detroit,MI,48201,(313) 262-6534
10,13475394.260523,305151.817633,Lady Of The House,1426 Bagley Ave,Detroit,MI,48216,(313) 818-0218
11,13478780.827486,307622.306865,Rusted Crow Detroit,78 W Adams Ave,Detroit,MI,48226,(313) 782-4751
12,13480068.333588,307594.830427,Vertical Detroit,1538 Centre St,Detroit,MI,48226,(313) 732-9463
13,13479052.847475,305963.560508,Roast,1128 Washington Blvd,Detroit,MI,48226,(313) 961-2500
14,13478727.496806,306800.179709,SavannahBlue,1431 Times Square,Detroit,MI,48226,(313) 926-0783
15,13475815.82021,304611.829068244,Batch Brewing Company,1400 Porter St,Detroit,MI,48216,(313) 338-8008
16,13476158.897995,304818.174206,Mudgie’s Deli & Wine Shop,1300 Porter St,Detroit,MI,48226,(313) 961-2000
17,13471021.7965,305732.139033,Takoi,2520 Michigan Ave,Detroit,MI,48216,
18,13480182.004991,306933.710227,Vicente’s Cuban Cuisine,1250 Library St,Detroit,MI,48226,(313) 962-8800
19,13479205.225612,305520.022267,Wala,1010 Washington Blvd,Detroit,MI,48226,(313) 963-5450
20,13479625.030379,307089.515964,Cornerstone Barrel House,1456 Woodward Ave,Detroit,MI,48226,(313) 338-3238
21,13479749.979907,305474.046836,Maru Sushi & Grill Detroit,160 W Fort St,Detroit,MI,48226,(313) 315-3100
22,13473611.061663,302201.059443,Green Dot Stables,2200 W Lafayette Blvd,Detroit,MI,48216,
23,13480047.001921,304968.818844,London Chop House,155 W Congress St,Detroit,MI,48226,(313) 962-0277
24,13475295.30714,304106.490471,Red Dunn Kitchen,1331 Trumbull Ave,Detroit,MI,48216,(313) 887-9477
25,13480038.345905,305144.736752,Caucus Club,150 W Congress St,Detroit,MI,48226,(313) 965-4970
26,13475657.734398,312515.341967,Royale with Cheese,4163 Cass Ave,Detroit,MI,48201,(313) 315-3014
27,13472905.782685,305576.845764,ima,2015 Michigan Ave,Detroit,MI,48216,
28,13475096.651136,305817.072768,Ottava Via,1400 Michigan Ave,Detroit,MI,48216,(313) 962-5500
29,13480519.842655,305685.004631,Central Kitchen + Bar,660 Woodward Ave,Detroit,MI,48226,(313) 963-9000
30,13479782.110408,305796.132659,Lafayette Coney Island,118 W Lafayette Blvd,Detroit,MI,48226,(313) 964-8198
31,13476176.431542,313103.358789,2941 Street Food,4219 Woodward Ave,Detroit,MI,48201,(313) 338-3466
32,13482358.9376,304876.434603,Joe Muer Seafood,400 Renaissance Ctr,Detroit,MI,48243,(313) 567-6837
33,13483779.178343,306596.433893,The Clique Restaurant,1326 E Jefferson Ave,Detroit,MI,48207,
34,13480737.63167,305301.428819,Townhouse,500 Woodward Ave,Detroit,MI,48226,(313) 723-1000
35,13479619.844393,306260.485313,La Lanterna,1224 Griswold St,Detroit,MI,48226,(313) 962-8821
36,13479732.697124,306485.504867,The Hudson Cafe,1241 Woodward Ave,Detroit,MI,48226,(313) 237-1000
37,13476325.068396,313166.270975,Rock City Eatery,4216 Woodward Ave,Detroit,MI,48201,(313) 265-3729
38,13481139.732652,307035.995414,Firebird Tavern,419 Monroe St,Detroit,MI,48226,(313) 782-4189
39,13479310.865462,307017.985256,Downtown Louie’s,30 Clifford St,Detroit,MI,48226,(313) 961-1600
40,13482572.27208,310470.791931,Gather,1454 Gratiot Ave,Detroit,MI,48207,
41,13474852.861012,316286.903231,Chartreuse,15 E Kirby St,Detroit,MI,48202,(313) 818-3915
42,13480519.842655,305685.004631,Roasting Plant - Detroit,660 Woodward Ave,Detroit,MI,48226,(313) 782-4291
43,13480519.842655,305685.004631,Shake Shack,660 Woodward Ave,Detroit,MI,48226,(313) 672-0501
44,13479929.936526,306157.56179,Avalon Cafe and Bakery,1049 Woodward Ave,Detroit,MI,48226,(313) 285-8006
45,13480275.686437,307617.501322,Colors,311 E Grand River Ave,Detroit,MI,48226,(313) 496-1212
46,13481497.874503,306126.360968,Jacoby’s German Biergarten,624 Brush St,Detroit,MI,48226,(313) 962-7067
47,13478624.654033,307657.066289,Gogo’s,2040 Park Ave,Detroit,MI,48226,(313) 672-4646
48,13477998.53618,307065.126016,Parks & Rec Diner,1942 Grand River Ave,Detroit,MI,48226,(313) 446-8370
49,13473775.705444,305688.670869,Bobcat Bonnie’s,1800 Michigan Ave,Detroit,MI,48216,(313) 962-1383
51,13478145.040375,309597.626356,Kid Rocks Made In Detroit,2645 Woodward Ave,Detroit,MI,48201,(313) 462-8620
52,13480252.121642,306290.086445,Texas de Brazil,1000 Woodward Ave,Detroit,MI,48226,(313) 964-4333
53,13482018.959935,310922.743451,Supino Pizzeria,2457 Russell St,Detroit,MI,48207,(313) 567-7879
55,13479223.221873,307037.284852,La Pecora Nera,1514 Washington Blvd,Detroit,MI,48226,(313) 315-3040
56,13482492.70337,310339.424464,Antietam,1428 Gratiot,Detroit,MI,48207,
57,13475690.542567,305822.595477,Brooklyn Street Local,1266 Michigan Ave,Detroit,MI,48226,(313) 262-6547
